"sku","storeid","cost","retail","sksinfo.zero"
6340389,6109,7.65,19.99,0
270398,7007,44.75,90.0,0
7539329,7107,25.0,69.5,0
3284719,2909,11.91,8.5,0
9248912,4307,12.0,30.0,0
2787531,1709,21.5,24.5,1
9808769,5202,9.0,14.0,0
369240,4302,22.0,49.0,1
5296370,1502,44.75,22.37,0
2497264,4802,17.29,21.0,0
9440073,1509,33.0,75.0,0
7007737,3502,7.8,7.49,0
5469878,8602,25.0,29.99,1
4268537,5403,11.59,15.0,0
1980071,4802,5.0,9.99,0
7720477,7502,42.5,85.0,0
5921368,1202,31.6,79.0,0
4111470,9204,18.0,59.5,0
7218463,6203,48.75,48.75,0
2629561,5903,14.1,49.0,0
9830002,9504,15.42,55.0,0
2979671,1402,10.5,24.0,0
4140213,9609,42.5,85.0,0
8796686,204,1.68,5.0,0
162377,7407,24.0,50.0,0
5258054,709,18.0,21.0,0
6939338,2409,19.75,39.5,0
8239884,7304,26.0,17.5,1
5631699,2409,34.75,69.5,0
3658618,7107,8.8,11.0,0
8449281,7502,225.0,495.0,0
7519677,4309,22.0,49.0,1
979527,4107,20.93,56.0,0
3550477,402,13.97,42.0,0
7351071,3204,5.5,14.0,0
3251794,7403,7.5,12.0,0
5133838,7107,44.0,88.0,0
3716811,4309,6.25,8.0,0
278229,1203,8.2,20.0,0
1647765,7907,51.66,32.0,0
8689802,3607,7.34,24.0,0
8829393,4103,30.72,25.0,0
8906603,4003,22.0,27.5,0
6453800,5604,23.6,14.75,0
6381167,1104,25.5,69.0,0
3170176,1104,14.25,36.0,0
2916585,3103,18.97,13.75,0
5013975,5502,12.25,13.0,0
2099077,102,3.4,6.0,0
1751917,4004,5.87,39.5,0
9929373,3003,12.0,28.0,0
7192068,2704,5.25,3.5,0
3349652,9609,29.5,17.25,1
2297789,9704,7.28,6.25,0
8527345,2207,16.28,11.0,0
4621418,7102,7.2,25.0,0
5888310,1807,8.13,18.0,0
4358030,3509,19.5,39.0,0
3301709,2807,30.5,65.0,0
4358627,1007,5.5,4.49,0
1438772,707,12.0,7.25,0
2398321,3603,22.8,19.5,0
2263582,3409,67.0,116.25,0
6391461,5303,72.0,129.0,0
4537025,4404,37.5,39.5,1
1689065,1607,5.8,14.0,0
1566915,5202,23.6,14.75,0
2049656,6009,10.4,28.0,0
3338921,7402,5.5,7.49,0
3577658,7007,8.51,18.5,0
5906451,4907,3.84,2.99,0
5574171,1203,36.0,19.75,1
